contract_id;station_number;status;bike_stands;bonus;banking;latitude;longitude;address;station_name
14;1001;1;16;0;1;45.767736;4.832114;Angle rue d'AlgÈrie;1001 - TERREAUX / TERME
14;1002;1;22;0;1;45.767524;4.836306;Angle rue Serlin - Angle place de la comÈdie;1002 - OP…RA (FAR)
14;1003;1;15;0;1;45.769289;4.830127;6 PLACE SATHONAY;1003 - PLACE SATHONAY
14;1005;1;10;0;1;45.766073;4.832849;Place Meissonier - Angle Sud-Est de la place;1005 - MEISSONNIER
14;1006;1;22;0;1;45.76791;4.819845;12 QUAI ST VINCENT;1006- SUBSISTANCES
14;1012;1;20;0;1;45.765789;4.836906;Rue de la Bourse - Long du CollËge-LycÈe AmpËre;1012 - AMP»RE / BOURSE
14;1013;1;11;0;1;45.768223;4.827533;Rue de la MartiniËre;1013 - MARTINI»RE
14;1016;1;17;0;1;45.765944;4.831089;Rue de la PlatiËre - Angle quai de la PÍcherie;1016 - P CHERIE
14;1020;1;18;0;1;45.766763;4.832942;Rue Chenavard - CÙtÈ place des Terreaux;1020 - TERREAUX / CHENAVARD
14;1021;1;11;0;1;45.766832;4.834267;Rue Herriot - Devant MusÈe des Beaux Arts;1021 - TERREAUX / BEAUX ARTS
14;1022;1;31;0;1;45.769508;4.837495;Place Tolozan - Angle nord-est de la place;1022 - PLACE TOLOZAN (FAR)
14;1023;1;20;1;1;45.772229;4.819389;16 BVD DE LA CROIX-ROUSSE;1023 - CROIX ROUSSE / PERFETTI
14;1024;1;17;0;1;45.769684;4.824607;PLACE ROUVILLE;1024 - ROUVILLE
14;1031;1;20;0;1;45.768023;4.831733;Place de la Paix - En face de La Poste;1031 - PLACE DE LA PAIX
14;1032;1;22;0;1;45.767165;4.836334;17 RUE PIZAY;1032 - PIZAY (FAR)
14;1034;1;16;0;1;45.770006;4.829274;30 MONTEE DES CARMELITES;1034 - CARM…LITES
14;1035;1;16;0;1;45.772191;4.837917;3 QUAI ANDRE LASSAGNE;1035 - QUAI LASSAGNE
14;1036;1;17;1;1;45.774366;4.832716;158 BVD DE LA CROIX-ROUSSE;1036 - AVEYRON
14;2001;1;18;0;1;45.758;4.834594;Angle RÈpublique / rue de la Barre;2001 - BELLECOUR / R…PUBLIQUE (FAR)
14;2002;1;20;0;1;45.758149;4.830428;CÙtÈ rue Lintier;2002 - BELLECOUR / ST EXUP…RY
14;2003;1;10;0;1;45.753049;4.828297;Angle Henry IV;2003 - PLACE AMP»RE
14;2004;1;18;0;1;45.750116;4.82801;16 PLACE CARNOT;2004 - PERRACHE / CARNOT
14;2005;1;32;0;1;45.740675;4.819284;101 cours Charlemagne Lyon 2 direction centre ville. Devant l'hÙtel de RÈgion;2005 - CONFLUENCE H‘TEL DE R…GION
14;2006;1;14;0;1;45.745528;4.82359;Angle cours Charlemagne;2006 - PLACE DE L'HIPPODROME
14;2007;1;22;0;1;45.742617;4.820464;Angle rue Casimir PÈrier;2007 - PATINOIRE CHARLEMAGNE
14;2008;1;18;0;1;45.756775;4.833917;CÙtÈ rue des Marroniers;2008 - PLACE ANTONIN PONCET (FAR)
